what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1561242483866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1561242484026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1561242493591
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.quick.type.hierarchy",1561242568812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561242571885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561244187602
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1561244190441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561244200270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561244201448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561244203703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561250890133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561250895050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561250896604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561250896959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561251301423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561251318414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1561251554817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1561251566134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1561251590331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1561251591601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1561251596905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1561251601740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1561251603213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1561251605188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1561251606291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1561251611521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1561251613351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1561251615526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1561251618654
